algorithm;class;metric;mse;C;n;value_fact;value_theory;is_steps
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;150;4.4142E-07;4.325254185862691E-07;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;200;5.80726E-07;5.767005581150255E-07;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;250;7.1783E-07;7.208756976437819E-07;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;300;8.63068E-07;8.650508371725382E-07;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;350;1.003378E-06;1.0092259767012946E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;400;1.140536E-06;1.153401116230051E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;450;1.278604E-06;1.2975762557588075E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;500;1.42012E-06;1.4417513952875637E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;550;1.5900275E-06;1.5859265348163202E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;600;1.7475249999999998E-06;1.7301016743450765E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;650;1.907414E-06;1.874276813873833E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;700;2.0332099999999997E-06;2.018451953402589E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;750;2.17782E-06;2.1626270929313456E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;800;2.32718E-06;2.306802232460102E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;850;2.49299E-06;2.4509773719888585E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;900;2.628E-06;2.595152511517615E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;950;2.753022E-06;2.739327651046371E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1000;2.925866666666667E-06;2.8835027905751275E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1050;3.037504E-06;3.027677930103884E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1100;3.198578E-06;3.1718530696326404E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1150;3.33376E-06;3.316028209161397E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1200;3.477588E-06;3.460203348690153E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1250;3.598095E-06;3.6043784882189094E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1300;3.80643E-06;3.748553627747666E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1350;3.8964780000000005E-06;3.892728767276422E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1400;4.01232E-06;4.036903906805178E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1450;4.17835E-06;4.181079046333935E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1500;4.3360275E-06;4.325254185862691E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1550;4.5004720000000004E-06;4.469429325391448E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1600;4.587954E-06;4.613604464920204E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1650;4.718366E-06;4.75777960444896E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1700;4.859388E-06;4.901954743977717E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1750;5.029422000000001E-06;5.046129883506473E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1800;5.1846959999999996E-06;5.19030502303523E-06;0
